"path","physical_lines","nonblank_lines","sha256","review_status"
"server/src/server/memory/migration_004_relational_v4.sql","86","79","7692c3cf0e2c796b1b214e14ec345b8fd051e3bebcae8b6b0838b80c9e343647","inventory_only"
"server/src/server/memory/migration_005_household_authorization.sql","34","30","5984ea635f99a4f030a89a81f837f46ffe522790860ce58f0cd5ec94c70029ac","partial_read"
"server/src/server/memory/migration_006_owner_credentials.sql","15","14","d33a8b2937bc813facb80f57f470d8d49468e733c68bd66e16c972f9194be043","partial_read"
"server/src/server/memory/migration_007_biometric_consent.sql","18","16","2dc6934b8bd01e826b34bfb50e5e63e9772d2751f0f800c5d24f7003690f3039","inventory_only"
"server/src/server/memory/normalize.py","387","340","56df6f3deb3ac9000011ba682bb301a02327e3348321b8d65b4a2765c7d41356","full_read"
"server/src/server/memory/owner_credentials.py","122","101","6e2c0818eb3315d9fe9866b897b6ee24a356e373db888346478926d33fdba89c","full_read"
"server/src/server/memory/policy_gated_v4_reader.py","259","222","a6cbfc73185cb6e93fdbd89973087748659de9d36ed67d571cd092080c554c97","full_read"
"server/src/server/memory/predicate_registry.py","202","173","ec2c59bd34b8832d49bed39c1a00c715afe36224afe7ce11d687ab2b6c93c2c8","full_read"
"server/src/server/memory/relational_v4.py","502","437","87a0f37bab9074dd10db8ea79d9b164c9b9e8bdffa3a888e2b735347c6d4dec8","full_read"
"server/src/server/memory/relations.py","113","92","410953bc76eca5968dc660f222b15316c3e69390beaa457b496ea72b2dfab8e2","full_read"
"server/src/server/memory/retention.py","90","71","fde0d8f46c96a08e1b48c67eeb3f13e0c0e9c6806b79cafec5f35804849c7dd2","full_read"
"server/src/server/memory/schema.sql","163","146","7c98fc4cea146a8af20d712d58470e0019a470ebf7b6038f415cbf85b2895824","inventory_only"
"server/src/server/memory/semantic.py","182","152","f99fe62ea8628c9a00dee6116bb4ad0148b4228760624b5e8fc2a58a5f38b311","full_read"
"server/src/server/memory/working.py","121","90","5ca7688ed25740948080c4aa6a5379aa0572b5e550b4d28b9cd5583cee2a58ca","full_read"
"server/src/server/onboarding.py","108","85","f54829c2051d1d1271c4ae24e8b60d359e07b3909633d4a2312a23aff9b343b2","full_read"
"server/src/server/personal_setup.py","399","319","af262b24bb656c345c215260f846a58e205f8f69ade9dd710adb74fd571a86a7","full_read"
"server/src/server/pipeline.py","118","94","3bd3cbb2cffa0e48da2ec9b19b3a52ad81999ed526e08c1c9b5c373a35cc57bf","full_read"
"server/src/server/request_context.py","194","154","32b9f8ffd55c829cbd09851788d70dc13a0b868815f133e17e34e8d54ae5f833","inventory_only"
"server/src/server/resources.py","39","26","1f5da5e3c075746ff2e4a6123813bb957e3333e21b9b408f6f492a9c49634991","full_read"
"server/src/server/routers/__init__.py","1","1","cd3c5435b5603c6b16feba9a66243af26a9c814230c740c26b82d3162b138860","full_read"
"server/src/server/routers/auth.py","360","310","466594bda19a84e77e2021ac35f31bb3e12e7c2e266f557436e9b1a4ac866cb7","full_read"
"server/src/server/routers/chat.py","111","96","af81dea63f8d4b4730005b420e62bfde8b265fbd4d34feb4f2abdfd33ba080e8","full_read"
"server/src/server/routers/system.py","52","40","f6261306167a69a4f54b717a0fa459c96bca2e6c9eb3786d86d790e33a03be76","full_read"
"server/src/server/routers/transcribe.py","587","513","24d90f8edd2e070cc545e5427ead956870acfeacf48dd560e4add1c17cf780de","full_read"
"server/src/server/routers/vision.py","319","268","17f37b55fac41df0c828eb8342567f7a8062965fd4a105a4126e3757bb04a30b","full_read"
"server/src/server/schemas.py","265","201","f99b3727999dec77d044ad8d3ec39586e2aa0589f4efddafed68f6c7d60af3ae","inventory_only"
"server/src/server/schemas_auth.py","65","43","1bbda08888d4291c0c2e51b5e122488ed1be98516bf50ec10dc0165eb7d0fcc7","inventory_only"
"server/src/server/schemas_chat.py","47","35","63b8df098d82ccd8300e1bb98a8ead7606c99ff85724b74e92c059e989a59152","inventory_only"
"server/src/server/schemas_streaming.py","79","58","ecc287c39d83e5d1b81cb36f154ddb0a826a02014d1703fc2bf74c05bffa937f","inventory_only"
"server/src/server/sentences.py","39","31","562b9eb3fca15314c63bf4af8544a209bdcbe1e9993af200589bc15498fc0258","inventory_only"
"server/src/server/settings.py","177","154","d0d1f176598f023ba148959cd2ef59c81d90942f7f1eb8637dbe4d088de3d63f","full_read"
"server/src/server/static/chat/chat.css","137","117","230516786016bc7acb491440e37cd6e2409b8338ad09a5f32350162de0891a23","inventory_only"
"server/src/server/static/chat/chat.js","160","143","abdc72b09485efa86cac04374c6c5992fc5cb4035bcc797d2ca0f610da149f21","inventory_only"
"server/src/server/static/chat/index.html","54","50","c321c2fd01dc8ad70c4cceae883860bb96a5b63eac05a47365bd4b793c66792f","inventory_only"
"server/src/server/streaming.py","292","256","ae035ae3c2d1b4b5b668dbefdd3a41825c82f5da25ebac80b069252815d81484","full_read"
"server/src/server/streaming_protocol.py","79","63","a948037dab25aae296f8eed56fa3cc6a8d6086c19e2e4603e10629936eda1ef1","inventory_only"
"server/src/server/streaming_render.py","257","211","27eeb95bef4b6e4538b0b58c08fd400f06b3bb76cfaec0f55a8177ebe80897bc","inventory_only"
"server/src/server/stt.py","159","131","f9757850a158f00f559f1f4b29e664b169a0414af1c1ab4ea84aaa9a0530091b","full_read"
"server/src/server/text_turn.py","316","276","7750fb002bf158c0716892d43f5ee075715f271209b6903742ef0975342cdde8","full_read"
"server/src/server/tts.py","169","134","a2e26cc2caecdf05b4f2beda01935ca52e62c87f7c54acefc481a18bddda714a","full_read"
"server/src/server/turn_log.py","99","84","c9e2e2a054a98b551cbc4897305541331c7599ef425820a3ff3abeed864d5631","inventory_only"
"server/src/server/uploads.py","39","30","55d76ae1e9c08fa7a9850cbf382f980a16f57bb55431a012b34b2dac975b5bab","full_read"
"server/src/server/vision/__init__.py","25","23","efda24f92ce343fba93366bccc2d41c0c783d9b84aca962f17123eeb43de9618","inventory_only"
"server/src/server/vision/describe.py","172","145","cdd4e13da6f9cdbd46806e64b9492c235382a182177eb29e2a457403b9a1654f","full_read"
"server/src/server/vision/faces.py","353","285","63d4f4d3963c64e87e544aecc2294b71ca23b8fe1b837dc46605d9d22ddb0b7a","full_read"
"server/src/server/vision/perception.py","163","135","d386dd1324e065443d2e1cb875891eb07990202001fcb4ba21699fc8c246abaa","full_read"
